Title,Location,Company,Salary,Advert Date
Data Analyst/Mobile App Programmer for Cycling Behaviours,Liverpool,Liverpool John Moores University,"£33,797 - £40,323 a year",6/4/2021
SQL Analyst / Implementation Analyst,Liverpool,Oscar Technology,"£23,000 - £25,000 a year",1/5/2021
Senior Insight Analyst,Liverpool,Shop Direct,,16/4/2021
Financial Systems Analyst,Liverpool,Informatiq Consulting,"£27,000 - £30,000 a year",12/4/2021
Finance Analyst (P&L),Liverpool,Royal Sun Alliance,,1/4/2021
IT Test Analyst,Liverpool,The DX Group,"£30,000 a year",1/4/2021
Project Engineer/Network Modeller,Birkenhead,Crowder Consulting,"£25,000 - £35,000 a year",
Database Administrator/Support Analyst,Whiston,Fresh Perspective Resourcing Ltd,"£28,000 - £34,000 a year",3/5/2021
Senior Credit Risk Analyst,Liverpool,Shop Direct,,16/3/2021
Key Accounts Analyst,Liverpool,bluprint,,4/5/2021
Trainee Robotics Process Automation - Liverpool,Liverpool,FDM Group - FDM Graduate Programme,"£23,500 - £26,000 a year",May 2021
SAP Data Migration Analyst,Liverpool,Whitehall Resources Ltd,,23/4/2021
Senior Finance Analyst (m/f/i/t),Liverpool,Adient,,
Decision Support Analyst,Merseyside,Datatech Analytics,,16/5/2021
ICT Analyst Programmer Career Graded,St Helens,St. Helens Council,"£18,795 - £34,788 a year",24/4/2021
Retail Data Manager,Liverpool,ShortList,"£40,000 a year",
Business Analyst,Liverpool,WSP,,May 2021
Solution Architect,Liverpool,Amey,,4/4/2021
Solution Architect,Liverpool,Ferrovial,,10/5/2021
Test Analyst,Ellesmere Port,Legal Marketing Services,"£25,000 - £30,000 a year",April 2021
BI Developer (PowerBI),Liverpool,Shop Direct,,April 2021
Senior Digital Analyst,Liverpool,Matalan,,15/4/2021
New Business Junior Sales Executive,Liverpool,Angel Solutions Ltd,,3/5/2021
Commercial Finance Analyst,Liverpool,Accountable Recruitment,"£35,000 - £40,000 a year",March 2021
Management Analyst I (Crime Analysis),County,"DeKalb County, GA",,14/4/2021
Lead BI Developer (PowerBI),Liverpool,Shop Direct,,5/5/2021
Onboarding Account Manager,Liverpool,Angel Solutions,,16/3/2021
Financial Reporting Analyst (Motability),Liverpool,Royal Sun Alliance,,May 2021
Category Manager,Liverpool,Riverside,"£35,756 - £39,520 a year",26/4/2021
Process + Compliance Manager,Liverpool,SP MANWEB PLC,"£43,520 - £54,400 a year",26/3/2021
Operational Strategy Analyst,Halewood,Sarah Harvey Recruitment,£20.30 - £26.00 an hour,19/4/2021
Campaign Manager,Liverpool,Matalan,,24/4/2021
